Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,Unnamed: 7
STX, Seagate Technology PLC,37.67,-0.32,-0.84,2152051,-0.1,
SWKS, Skyworks Solutions Inc.,110.34,-0.07,-0.06,1013395,0.0,
SYMC, Symantec Corporation,27.97,-0.39,-1.38,4691248,-0.2,
TMUS, T-Mobile US Inc.,56.43,-0.37,-0.65,4229718,-0.3,
TSCO, Tractor Supply Company,61.34,-1.33,-2.12,1286067,-0.2,
TSLA, Tesla Inc.,315.4,12.41,4.1,7584819,1.8,
TXN, Texas Instruments Incorporated,97.03,0.09,0.09,2063374,0.1,
ULTA, Ulta Beauty Inc.,198.02,-2.74,-1.36,838575,-0.2,
VIAB, Viacom Inc.,24.72,-0.17,-0.68,6051519,-0.1,
VOD, Vodafone Group Plc,28.84,-0.51,-1.74,9080956,-0.2,
VRSK, Verisk Analytics Inc.,90.12,-0.09,-0.1,888923,0.0,
VRTX, Vertex Pharmaceuticals Incorporated,148.02,-0.72,-0.48,668507,-0.2,
WBA, Walgreens Boots Alliance Inc.,70.37,-0.62,-0.87,12016735,-0.6,
WDC, Western Digital Corporation,88.46,-0.46,-0.52,1746072,-0.1,
WYNN, Wynn Resorts Limited,155.24,1.21,0.79,1282934,0.1,
XLNX, Xilinx Inc.,72.33,0.46,0.64,1354184,0.1,
XRAY, DENTSPLY SIRONA Inc.,65.8,0.22,0.34,1994225,0.0,
